State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9765644945530583	0.009819430626595762	0.0	1.7422139842829147E-5	6.470081632059576E-4	0.0	0.0	4.0623051276304424E-5	0.0	0.0012264575499997118	0.004388854980734002	0.003378935784168366	0.0	8.967337617868421E-4	0.0030200393893320535
2	0.02658733002681266	0.9429372854757712	0.017036858043795195	0.0	0.011873574708930426	0.0	0.0	3.190577096128019E-5	0.0	6.111984927111225E-4	1.1417394357544183E-4	0.0	0.0	3.1566759878273823E-4	4.920059386599551E-4
3	0.0	0.13796806779420023	0.7949723794620198	0.03364779718970785	0.003930823804453545	0.0	0.0	3.2505540427768597E-7	0.019441328915509697	0.009339438587491327	0.0	0.0	0.0	0.0	6.998391912132726E-4
4	0.0	0.0	0.04045123419446094	0.7878120059675507	0.07671169650932941	0.0	0.026355473039813466	0.05515114184109828	0.012506943169794867	0.0	9.711477880065492E-4	0.0	0.0	5.490672981719597E-6	3.486681696386147E-5
5	0.015805595608277587	0.1018202848293546	0.004575361362546975	0.06572926458820957	0.7522408070273859	7.816168638779469E-4	0.04402800838434681	0.0017713099670514678	4.625916088840821E-6	0.0	0.013185810115822979	0.0	0.0	5.7315337037391325E-5	0.0
6	0.0	0.0	0.0	0.0	4.634237126993895E-4	0.5692321298953554	0.1057846257303054	5.130206890275713E-4	0.009308653776000791	1.403507709713412E-4	0.09766656380932337	0.16560961300466742	0.023555792899532725	0.007537800313445684	0.020188025398670862
7	1.979707598868035E-4	0.0	0.0	0.017915094164082632	0.034961988387330487	0.1412261382146091	0.7066323170699813	0.07426011444659257	0.006476358943446939	0.0	0.010372462103309102	0.006251122933815879	0.0	9.874891632453366E-5	0.0016076840606207606
8	0.004243457061253235	0.0014422244738469337	1.3833554564268236E-4	0.16667835992450034	0.009015666005227721	0.0034032391223621705	0.34887329866665956	0.42159597203189403	0.0017419103015227078	2.607292467073604E-4	0.03786020396007239	0.004502225104437587	0.0	0.0	2.4437855587324106E-4
9	0.0	0.0	0.014391479817398386	0.009000313105341976	6.904034931499009E-6	0.010381787603629145	0.006616515272481515	5.677908044659035E-4	0.7489276297644264	0.17069192700050886	0.037316063206452435	1.1618784092741419E-7	0.0	0.0	0.0020994732025231217
10	0.016074439016365554	0.003179055404467372	0.0060412382164138825	0.0	0.0	5.663820932579719E-7	0.0	3.30338730441722E-5	0.13345742013564554	0.6317022520799581	0.15544008645370952	0.04399657083555901	0.0	0.007397952705655111	0.0026773848970884735
11	0.01769104489858432	2.520825669814453E-4	0.0	1.5329317505203841E-4	0.002623476788909789	0.03198792284906896	0.002928914003431291	0.0017806432984810215	0.009010977433631936	0.04895964481526915	0.7074278678913521	0.17169187221021584	0.0	2.1269511091530433E-4	0.005279564958106794
12	6.241233399246792E-4	0.0	0.0	0.0	0.0	0.0024936639322205886	8.301960875155559E-5	1.1605962376099064E-5	0.0	6.256765047773697E-4	0.008106268108460863	0.9804383178255857	8.89499097594349E-4	0.001835120317552015	0.00489270530275677
13	0.0	0.0	0.0	0.0	0.0	3.064624240151099E-4	0.0	0.0	0.0	0.0	0.0	7.601114728175509E-4	0.9972183111280054	8.066938743758719E-4	9.084211007861318E-4
14	0.003775483501015036	4.2846864526884865E-4	0.0	0.0	1.9492757555138956E-5	0.0025479900733090866	7.736983421574789E-6	1.7234850388393548E-5	0.0	0.0025518842502216125	7.274777750591198E-4	0.04266280067003631	0.021253430297644836	0.9254337445549675	5.742556411125489E-4
15	0.035982931530121234	0.00220801942484762	3.124514533664374E-4	0.0	1.5262765895215132E-4	0.019470692341557606	9.425387023723848E-4	1.372686101617053E-4	0.0015304458405744259	0.0025363179245832153	0.015656958466557805	0.3139808147607032	0.06437328661002131	0.0014271897521280345	0.5412884569240527
