15	10	E	-8742245.588314336	200
transitionprobs	11	9	0.009010977433631936
transitionprobs	11	10	0.04895964481526915
transitionprobs	11	11	0.7074278678913521
transitionprobs	11	12	0.17169187221021584
transitionprobs	11	13	0.0
transitionprobs	11	14	2.1269511091530433E-4
transitionprobs	11	15	0.005279564958106794
transitionprobs	12	1	6.241233399246792E-4
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0024936639322205886
transitionprobs	12	7	8.301960875155559E-5
transitionprobs	12	8	1.1605962376099064E-5
transitionprobs	12	9	0.0
transitionprobs	12	10	6.256765047773697E-4
transitionprobs	12	11	0.008106268108460863
transitionprobs	12	12	0.9804383178255857
transitionprobs	12	13	8.89499097594349E-4
transitionprobs	12	14	0.001835120317552015
transitionprobs	12	15	0.00489270530275677
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0
transitionprobs	13	6	3.064624240151099E-4
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	0.0
transitionprobs	13	12	7.601114728175509E-4
transitionprobs	13	13	0.9972183111280054
transitionprobs	13	14	8.066938743758719E-4
transitionprobs	13	15	9.084211007861318E-4
transitionprobs	14	1	0.003775483501015036
transitionprobs	14	2	4.2846864526884865E-4
transitionprobs	14	3	0.0
transitionprobs	14	4	0.0
transitionprobs	14	5	1.9492757555138956E-5
transitionprobs	14	6	0.0025479900733090866
transitionprobs	14	7	7.736983421574789E-6
transitionprobs	14	8	1.7234850388393548E-5
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0025518842502216125
transitionprobs	14	11	7.274777750591198E-4
transitionprobs	14	12	0.04266280067003631
transitionprobs	14	13	0.021253430297644836
transitionprobs	14	14	0.9254337445549675
transitionprobs	14	15	5.742556411125489E-4
transitionprobs	15	1	0.035982931530121234
transitionprobs	15	2	0.00220801942484762
transitionprobs	15	3	3.124514533664374E-4
transitionprobs	15	4	0.0
transitionprobs	15	5	1.5262765895215132E-4
transitionprobs	15	6	0.019470692341557606
transitionprobs	15	7	9.425387023723848E-4
transitionprobs	15	8	1.372686101617053E-4
transitionprobs	15	9	0.0015304458405744259
transitionprobs	15	10	0.0025363179245832153
transitionprobs	15	11	0.015656958466557805
transitionprobs	15	12	0.3139808147607032
transitionprobs	15	13	0.06437328661002131
transitionprobs	15	14	0.0014271897521280345
transitionprobs	15	15	0.5412884569240527
emissionprobs	1	0	Ctcf	0	0.998699283937565
emissionprobs	1	0	Ctcf	1	0.0013007160624350558
emissionprobs	1	1	H2az	0	0.9985732197156709
emissionprobs	1	1	H2az	1	0.0014267802843290335
emissionprobs	1	2	H3k04me1	0	0.9965826815123621
emissionprobs	1	2	H3k04me1	1	0.0034173184876378922
emissionprobs	1	3	H3k04me2	0	0.9991107857727488
emissionprobs	1	3	H3k04me2	1	8.892142272512755E-4
emissionprobs	1	4	H3k04me3	0	0.9774760334847837
emissionprobs	1	4	H3k04me3	1	0.022523966515216324
emissionprobs	1	5	H3k09ac	0	0.9903993624868207
emissionprobs	1	5	H3k09ac	1	0.009600637513179378
emissionprobs	1	6	H3k09me3	0	0.9969503073900087
emissionprobs	1	6	H3k09me3	1	0.003049692609991365
emissionprobs	1	7	H3k27ac	0	0.999403168514204
emissionprobs	1	7	H3k27ac	1	5.96831485795934E-4
emissionprobs	1	8	H3k36me3	0	0.9434681625787115
emissionprobs	1	8	H3k36me3	1	0.056531837421288644
emissionprobs	1	9	H3k79me2	0	0.862874390409996
emissionprobs	1	9	H3k79me2	1	0.13712560959000392
emissionprobs	2	0	Ctcf	0	0.9938464386188854
emissionprobs	2	0	Ctcf	1	0.006153561381114514
emissionprobs	2	1	H2az	0	0.9984132719563581
emissionprobs	2	1	H2az	1	0.0015867280436419008
emissionprobs	2	2	H3k04me1	0	0.9543706560562462
emissionprobs	2	2	H3k04me1	1	0.045629343943753904
emissionprobs	2	3	H3k04me2	0	0.9862780692435836
emissionprobs	2	3	H3k04me2	1	0.013721930756416435
emissionprobs	2	4	H3k04me3	0	0.9430773802045063
emissionprobs	2	4	H3k04me3	1	0.056922619795493706
emissionprobs	2	5	H3k09ac	0	0.9748857406476842
emissionprobs	2	5	H3k09ac	1	0.025114259352315774
emissionprobs	2	6	H3k09me3	0	0.9884150135967832
emissionprobs	2	6	H3k09me3	1	0.01158498640321682
emissionprobs	2	7	H3k27ac	0	0.9963059446538196
emissionprobs	2	7	H3k27ac	1	0.0036940553461804206
emissionprobs	2	8	H3k36me3	0	0.9305798000537381
emissionprobs	2	8	H3k36me3	1	0.06942019994626182
emissionprobs	2	9	H3k79me2	0	0.3675255964274557
emissionprobs	2	9	H3k79me2	1	0.6324744035725444
emissionprobs	3	0	Ctcf	0	0.9765741122664251
emissionprobs	3	0	Ctcf	1	0.023425887733574985
emissionprobs	3	1	H2az	0	0.9963722904463964
emissionprobs	3	1	H2az	1	0.003627709553603573
emissionprobs	3	2	H3k04me1	0	0.4654205292585602
emissionprobs	3	2	H3k04me1	1	0.5345794707414397
emissionprobs	3	3	H3k04me2	0	0.549487246526145
emissionprobs	3	3	H3k04me2	1	0.45051275347385505
emissionprobs	3	4	H3k04me3	0	0.7292603681158439
emissionprobs	3	4	H3k04me3	1	0.2707396318841561
emissionprobs	3	5	H3k09ac	0	0.6421382350606303
emissionprobs	3	5	H3k09ac	1	0.3578617649393698
emissionprobs	3	6	H3k09me3	0	0.9958956195748037
emissionprobs	3	6	H3k09me3	1	0.004104380425196293
emissionprobs	3	7	H3k27ac	0	0.38659356295315134
emissionprobs	3	7	H3k27ac	1	0.6134064370468486
emissionprobs	3	8	H3k36me3	0	0.9015653343267814
emissionprobs	3	8	H3k36me3	1	0.09843466567321864
emissionprobs	3	9	H3k79me2	0	0.21649608698792658
emissionprobs	3	9	H3k79me2	1	0.7835039130120734
emissionprobs	4	0	Ctcf	0	0.954606402966582
emissionprobs	4	0	Ctcf	1	0.04539359703341808
emissionprobs	4	1	H2az	0	0.8396481714152576
emissionprobs	4	1	H2az	1	0.16035182858474242
emissionprobs	4	2	H3k04me1	0	0.8408916734620898
emissionprobs	4	2	H3k04me1	1	0.15910832653791013
emissionprobs	4	3	H3k04me2	0	0.03356363968512246
emissionprobs	4	3	H3k04me2	1	0.9664363603148776
emissionprobs	4	4	H3k04me3	0	0.02715020437117904
emissionprobs	4	4	H3k04me3	1	0.972849795628821
emissionprobs	4	5	H3k09ac	0	0.012480378201750244
emissionprobs	4	5	H3k09ac	1	0.9875196217982497
emissionprobs	4	6	H3k09me3	0	0.9994021177180494
emissionprobs	4	6	H3k09me3	1	5.978822819506892E-4
emissionprobs	4	7	H3k27ac	0	0.021880441532229046
emissionprobs	4	7	H3k27ac	1	0.9781195584677709
emissionprobs	4	8	H3k36me3	0	0.9399976097693827
emissionprobs	4	8	H3k36me3	1	0.06000239023061728
emissionprobs	4	9	H3k79me2	0	0.14597687894915168
emissionprobs	4	9	H3k79me2	1	0.8540231210508482
emissionprobs	5	0	Ctcf	0	0.9827352178572692
emissionprobs	5	0	Ctcf	1	0.017264782142730736
emissionprobs	5	1	H2az	0	0.9900556267728738
emissionprobs	5	1	H2az	1	0.009944373227126123
emissionprobs	5	2	H3k04me1	0	0.8701342996697199
emissionprobs	5	2	H3k04me1	1	0.1298657003302801
emissionprobs	5	3	H3k04me2	0	0.11301224183587952
emissionprobs	5	3	H3k04me2	1	0.8869877581641206
emissionprobs	5	4	H3k04me3	0	0.16887044289290257
emissionprobs	5	4	H3k04me3	1	0.8311295571070975
emissionprobs	5	5	H3k09ac	0	0.3559169234733389
emissionprobs	5	5	H3k09ac	1	0.6440830765266612
emissionprobs	5	6	H3k09me3	0	0.9985852972770922
emissionprobs	5	6	H3k09me3	1	0.0014147027229077897
emissionprobs	5	7	H3k27ac	0	0.9881271807242752
emissionprobs	5	7	H3k27ac	1	0.01187281927572475
emissionprobs	5	8	H3k36me3	0	0.9535242768607923
emissionprobs	5	8	H3k36me3	1	0.0464757231392077
emissionprobs	5	9	H3k79me2	0	0.15027355223725658
emissionprobs	5	9	H3k79me2	1	0.8497264477627435
emissionprobs	6	0	Ctcf	0	0.8548564838282057
emissionprobs	6	0	Ctcf	1	0.14514351617179436
emissionprobs	6	1	H2az	0	0.7260581685932184
emissionprobs	6	1	H2az	1	0.2739418314067817
emissionprobs	6	2	H3k04me1	0	0.8660935525298751
emissionprobs	6	2	H3k04me1	1	0.13390644747012492
emissionprobs	6	3	H3k04me2	0	0.19829605840241785
emissionprobs	6	3	H3k04me2	1	0.8017039415975821
emissionprobs	6	4	H3k04me3	0	0.4272362360028456
emissionprobs	6	4	H3k04me3	1	0.5727637639971545
emissionprobs	6	5	H3k09ac	0	0.7474951359146224
emissionprobs	6	5	H3k09ac	1	0.2525048640853776
emissionprobs	6	6	H3k09me3	0	0.9854884556568388
emissionprobs	6	6	H3k09me3	1	0.014511544343161173
emissionprobs	6	7	H3k27ac	0	0.9542552009963471
emissionprobs	6	7	H3k27ac	1	0.045744799003652956
emissionprobs	6	8	H3k36me3	0	0.9918165916889701
emissionprobs	6	8	H3k36me3	1	0.008183408311030056
emissionprobs	6	9	H3k79me2	0	0.9717459545355255
emissionprobs	6	9	H3k79me2	1	0.028254045464474572
emissionprobs	7	0	Ctcf	0	0.8496578357897672
emissionprobs	7	0	Ctcf	1	0.1503421642102327
emissionprobs	7	1	H2az	0	0.20513476435179143
emissionprobs	7	1	H2az	1	0.7948652356482087
emissionprobs	7	2	H3k04me1	0	0.9681005897724902
emissionprobs	7	2	H3k04me1	1	0.03189941022750969
emissionprobs	7	3	H3k04me2	0	0.03479506020248869
emissionprobs	7	3	H3k04me2	1	0.9652049397975114
emissionprobs	7	4	H3k04me3	0	0.0012280199708207197
emissionprobs	7	4	H3k04me3	1	0.9987719800291792
emissionprobs	7	5	H3k09ac	0	0.004983508038428079
emissionprobs	7	5	H3k09ac	1	0.9950164919615718
emissionprobs	7	6	H3k09me3	0	0.9984248625263683
emissionprobs	7	6	H3k09me3	1	0.001575137473631623
emissionprobs	7	7	H3k27ac	0	0.4362207029054504
emissionprobs	7	7	H3k27ac	1	0.5637792970945494
emissionprobs	7	8	H3k36me3	0	0.9998902159432733
emissionprobs	7	8	H3k36me3	1	1.0978405672672942E-4
emissionprobs	7	9	H3k79me2	0	0.8370613416330002
emissionprobs	7	9	H3k79me2	1	0.16293865836699994
emissionprobs	8	0	Ctcf	0	0.9256329055119101
emissionprobs	8	0	Ctcf	1	0.07436709448808985
emissionprobs	8	1	H2az	0	0.8566370900796807
emissionprobs	8	1	H2az	1	0.14336290992031928
emissionprobs	8	2	H3k04me1	0	1.0
emissionprobs	8	2	H3k04me1	1	5.58907456508977E-170
emissionprobs	8	3	H3k04me2	0	0.8936436585053441
emissionprobs	8	3	H3k04me2	1	0.10635634149465584
emissionprobs	8	4	H3k04me3	0	0.19033312404654706
emissionprobs	8	4	H3k04me3	1	0.8096668759534529
emissionprobs	8	5	H3k09ac	0	0.17727369750351687
emissionprobs	8	5	H3k09ac	1	0.8227263024964832
emissionprobs	8	6	H3k09me3	0	0.9997464530304929
emissionprobs	8	6	H3k09me3	1	2.5354696950707857E-4
emissionprobs	8	7	H3k27ac	0	0.43010226652078215
emissionprobs	8	7	H3k27ac	1	0.5698977334792178
emissionprobs	8	8	H3k36me3	0	1.0
emissionprobs	8	8	H3k36me3	1	2.392097720571652E-41
emissionprobs	8	9	H3k79me2	0	0.9504164567614438
emissionprobs	8	9	H3k79me2	1	0.04958354323855622
emissionprobs	9	0	Ctcf	0	0.9516861931289565
emissionprobs	9	0	Ctcf	1	0.04831380687104342
emissionprobs	9	1	H2az	0	0.7847193065028674
emissionprobs	9	1	H2az	1	0.21528069349713266
emissionprobs	9	2	H3k04me1	0	0.5007292632737997
emissionprobs	9	2	H3k04me1	1	0.4992707367262003
emissionprobs	9	3	H3k04me2	0	0.050577407654741065
emissionprobs	9	3	H3k04me2	1	0.9494225923452589
emissionprobs	9	4	H3k04me3	0	0.37859899507299705
emissionprobs	9	4	H3k04me3	1	0.621401004927003
emissionprobs	9	5	H3k09ac	0	0.29368682634392496
emissionprobs	9	5	H3k09ac	1	0.7063131736560749
emissionprobs	9	6	H3k09me3	0	0.9991084895159281
emissionprobs	9	6	H3k09me3	1	8.91510484071778E-4
